"","name","deathsper1000livebirths","region"
"150","Sint Maarten",7.6,"Central America and the Caribbean"
"151","Nauru",7.6,"Australia and Oceania"
"152","Curacao",7.5,"Central America and the Caribbean"
"153","Virgin Islands",7.3,"Central America and the Caribbean"
"154","Cayman Islands",7.3,"Central America and the Caribbean"
"155","Kuwait",7.2,"Middle East"
"156","North Macedonia",7,"Europe"
"157","Sri Lanka",6.8,"South Asia"
"158","Costa Rica",6.7,"Central America and the Caribbean"
"159","Lebanon",6.7,"Middle East"
"160","Saint Martin",6.5,"Central America and the Caribbean"
"161","Saint Barthelemy",6.5,"Central America and the Caribbean"
"162","Russia",6.5,"Central Asia"
"163","Qatar",6.4,"Middle East"
"164","Malaysia",6.4,"East and Southeast Asia"
"165","Thailand",6.3,"East and Southeast Asia"
"166","Chile",6.3,"South America"
"167","China",6.2,"East and Southeast Asia"
"168","San Marino",6.2,"Europe"
"169","Gibraltar",6,"Europe"
"170","Puerto Rico",5.8,"Central America and the Caribbean"
"171","Faroe Islands",5.7,"Europe"
"172","Romania",5.5,"Europe"
"173","United States",5.1,"North America"
"174","Slovakia",5.1,"Europe"
"175","United Arab Emirates",5,"Middle East"
"176","Bosnia and Herzegovina",5,"Europe"
"177","Poland",4.9,"Europe"
"178","New Caledonia",4.8,"Australia and Oceania"
"179","Latvia",4.7,"Europe"
"180","Hungary",4.7,"Europe"
"181","Serbia",4.5,"Europe"
"182","Malta",4.4,"Europe"
"183","Macau",4.4,"East and Southeast Asia"
"184","French Polynesia",4.3,"Australia and Oceania"
"185","Canada",4.3,"North America"
"186","Isle of Man",4.1,"Europe"
"187","Cuba",4,"Central America and the Caribbean"
"188","Wallis and Futuna",3.9,"Australia and Oceania"
"189","Liechtenstein",3.9,"Europe"
"190","United Kingdom",3.8,"Europe"
"191","Taiwan",3.8,"East and Southeast Asia"
"192","Jersey",3.7,"Europe"
"193","Lithuania",3.6,"Europe"
"194","Netherlands",3.6,"Europe"
"195","Greece",3.4,"Europe"
"196","Estonia",3.3,"Europe"
"197","Guernsey",3.3,"Europe"
"198","Ireland",3.3,"Europe"
"199","New Zealand",3.3,"Australia and Oceania"
"200","Andorra",3.3,"Europe"
"201","Austria",3.2,"Europe"
"202","Montenegro",3.2,"Europe"
"203","Luxembourg",3.2,"Europe"
"204","France",3.1,"Europe"
"205","Belgium",3.1,"Europe"
"206","Germany",3.1,"Europe"
"207","Italy",3.1,"Europe"
"208","Anguilla",3,"Central America and the Caribbean"
"209","Switzerland",3,"Europe"
"210","Denmark",3,"Europe"
"211","Australia",2.9,"Australia and Oceania"
"212","South Korea",2.8,"East and Southeast Asia"
"213","Israel",2.8,"Middle East"
"214","Czechia",2.6,"Europe"
"215","Hong Kong",2.5,"East and Southeast Asia"
"216","Portugal",2.4,"Europe"
"217","Spain",2.4,"Europe"
"218","Sweden",2.3,"Europe"
"219","Belarus",2.1,"Europe"
"220","Bermuda",2.1,"North America"
"221","Finland",2.1,"Europe"
"222","Japan",1.9,"East and Southeast Asia"
"223","Norway",1.8,"Europe"
"224","Monaco",1.7,"Europe"
"225","Iceland",1.6,"Europe"
"226","Singapore",1.5,"East and Southeast Asia"
"227","Slovenia",1.5,"Europe"
